v0_cpu, 16, 16, 0.263352
v0_cpu, 32, 32, 1.056992
v0_cpu, 64, 64, 4.028203
v0_cpu, 128, 128, 15.196189
v0_cpu, 16, 16, 0.273527
v0_cpu, 32, 32, 1.075031
v0_cpu, 64, 64, 4.014497
v0_cpu, 128, 128, 15.239261
v0_cpu, 16, 16, 0.281975
v0_cpu, 32, 32, 1.052514
v0_cpu, 64, 64, 4.160475
v0_cpu, 128, 128, 14.607211
v0_cpu, 16, 16, 0.257957
v0_cpu, 32, 32, 1.064121
v0_cpu, 64, 64, 4.144097
v0_cpu, 128, 128, 15.171988
v0_cpu, 16, 16, 0.256677
v0_cpu, 32, 32, 1.022247
v0_cpu, 64, 64, 4.175878
v0_cpu, 128, 128, 15.158571
v0_cpu, 16, 16, 0.262687
v0_cpu, 32, 32, 1.016525
v0_cpu, 64, 64, 4.130568
v0_cpu, 128, 128, 15.070759
v0_cpu, 16, 16, 0.251953
v0_cpu, 32, 32, 1.025716
v0_cpu, 64, 64, 3.994364
v0_cpu, 128, 128, 15.039626
v0_cpu, 16, 16, 0.259653
v0_cpu, 32, 32, 1.074854
v0_cpu, 64, 64, 4.023977
v0_cpu, 128, 128, 14.91728
v0_cpu, 16, 16, 0.260611
v0_cpu, 32, 32, 1.013523
v0_cpu, 64, 64, 4.046731
v0_cpu, 128, 128, 15.010305
v0_cpu, 16, 16, 0.252266
v0_cpu, 32, 32, 1.045704
v0_cpu, 64, 64, 4.002225
v0_cpu, 128, 128, 14.975471
v3_gpu, 16, 16, 0.239132
v3_gpu, 32, 32, 0.407277
v3_gpu, 64, 64, 0.970134
v3_gpu, 128, 128, 3.715864
v3_gpu, 16, 16, 0.1604
v3_gpu, 32, 32, 0.348155
v3_gpu, 64, 64, 0.979312
v3_gpu, 128, 128, 3.74868
v3_gpu, 16, 16, 0.165962
v3_gpu, 32, 32, 0.356666
v3_gpu, 64, 64, 0.982326
v3_gpu, 128, 128, 3.756052
v3_gpu, 16, 16, 0.164457
v3_gpu, 32, 32, 0.354488
v3_gpu, 64, 64, 0.979886
v3_gpu, 128, 128, 3.76219
v3_gpu, 16, 16, 0.161241
v3_gpu, 32, 32, 0.358857
v3_gpu, 64, 64, 0.986563
v3_gpu, 128, 128, 3.774315
v3_gpu, 16, 16, 0.16585
v3_gpu, 32, 32, 0.35008
v3_gpu, 64, 64, 0.989061
v3_gpu, 128, 128, 3.751159
v3_gpu, 16, 16, 0.161097
v3_gpu, 32, 32, 0.358662
v3_gpu, 64, 64, 1.010317
v3_gpu, 128, 128, 3.783855
v3_gpu, 16, 16, 0.165138
v3_gpu, 32, 32, 0.352277
v3_gpu, 64, 64, 1.019761
v3_gpu, 128, 128, 3.770716
v3_gpu, 16, 16, 0.165625
v3_gpu, 32, 32, 0.435351
v3_gpu, 64, 64, 1.008618
v3_gpu, 128, 128, 3.79822
v3_gpu, 16, 16, 0.166513
v3_gpu, 32, 32, 0.359225
v3_gpu, 64, 64, 1.011886
v3_gpu, 128, 128, 3.790859
